title,year,author,ISBN-10,ISBN-13
The Hobbit,1937,J.R.R. Tolkien,?,?
The Lord of the Rings - The Fellowship of the Ring,?,?,?,?
The Lord of the Rings - The Two Towers,?,?,?,?
The Lord of the Rings - The Return of the King,?,?,?,?
